"Sample","Passage","Group","Strain","Species","Start.date","Extraction.date","Days.on.plate","X","Ct","block","Species.full"
"FBR28",0,"FBR28","ZF1092","sp.25","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,18.392,1,"C. sp. 25"
"FBR29",0,"FBR29","ZF1092","sp.25","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,17.3449,1,"C. sp. 25"
"FBR30",0,"FBR30","ZF1092","sp.25","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,17.0641,1,"C. sp. 25"
"FBR37",0,"FBR37","SB454","sulstoni","4/16/2021 10:55","4/20/2021 11:00","4.003472222",NA,16.2558,1,"C. sulstoni"
"FBR38",0,"FBR38","SB454","sulstoni","4/16/2021 10:55","4/20/2021 12:10","4.052083333",NA,16.9863,1,"C. sulstoni"
"FBR39",0,"FBR39","SB454","sulstoni","4/16/2021 10:55","4/20/2021 12:10","4.052083333",NA,16.9048,1,"C. sulstoni"
"FBR40",0,"FBR40","JU1857","macrosperma","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,20.0242,1,"C. macrosperma"
"FBR41",0,"FBR41","JU1857","macrosperma","4/16/2021 10:55","4/20/2021 11:00","4.003472222",NA,19.5381,1,"C. macrosperma"
"FBR42",0,"FBR42","JU1857","macrosperma","4/16/2021 10:55","4/20/2021 11:00","4.003472222",NA,17.5552,1,"C. macrosperma"
"FBR7.1",1,"FBR7","JU3325","latens","4/25/2021 6:50","5/4/2021 13:55","9.295138889",NA,Inf,1,"C. latens"
"FBR8.1",1,"FBR8","JU3325","latens","4/27/2021 13:55","5/4/2021 13:55","7",NA,Inf,1,"C. latens"
"FBR9.1",1,"FBR9","JU3325","latens","4/27/2021 13:55","5/4/2021 13:55","7",NA,Inf,1,"C. latens"
"FBR11.1",1,"FBR11","NIC564","waitukubuli","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,Inf,1,"C. waitukubuli"
"FBR12.1",1,"FBR12","NIC564","waitukubuli","4/21/2021 11:30","4/26/2021 15:15","5.15625",NA,Inf,1,"C. waitukubuli"
