"","Sample","Strain","Species","Start.date","Extraction.date","Treatment","Days.on.plate","Ct","block"
"234","FBL44","JU4092","sp.65","2/12/2021 12:30","2/17/2021 10:00","virus",4.895833333,Inf,5
"235","FBL45","JU4092","sp.65","2/12/2021 12:30","2/17/2021 10:00","virus",4.895833333,Inf,5
"236","FBL46","JU1853","macrosperma","2/12/2021 12:30",NA,"virus",NA,NA,5
"237","FBL47","JU1853","macrosperma","2/12/2021 12:30",NA,"virus",NA,NA,5
"238","FBL48","JU1853","macrosperma","2/12/2021 12:30",NA,"virus",NA,NA,5
"239","FBL49","JU3126","portoensis","2/12/2021 12:30","2/17/2021 14:00","virus",5.0625,Inf,5
"240","FBL50","JU3126","portoensis","2/12/2021 12:30","2/17/2021 10:00","virus",4.895833333,Inf,5
"241","FBL51","JU3126","portoensis","2/12/2021 12:30","2/17/2021 10:00","virus",4.895833333,34.2713,5
"242","FBL54","JU724","latens","2/12/2021 12:30","2/18/2021 8:45","virus",5.84375,Inf,5
"243","FBM4","N2","elegans","2/25/2021 11:45","3/1/2021 11:55","control",4.006944444,Inf,6
"244","FBM5","N2","elegans","2/25/2021 11:45","3/1/2021 11:55","control",4.006944444,Inf,6
"245","FBM6","N2","elegans","2/25/2021 11:45","3/1/2021 10:25","control",3.944444444,Inf,6
"246","FBM7","N2","elegans","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,13.0882,6
"247","FBM8","N2","elegans","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,13.1563,6
"248","FBM9","N2","elegans","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,13.1396,6
"249","FBM10","JU1580","elegans","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,13.2325,6
"250","FBM11","JU1580","elegans","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,11.0649,6
"251","FBM12","JU1580","elegans","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,17.2948,6
"252","FBM13","GXW1","elegans","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,10.4344,6
"253","FBM14","GXW1","elegans","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,11.4396,6
"254","FBM15","GXW1","elegans","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,10.5753,6
"255","FBM16","EG4181","briggsae","2/25/2021 11:45","3/2/2021 11:45","virus",5,Inf,6
